State,City,Vehicle_Count,Vehicle_Class,Vehicle_Type,Fuel_Type,Region,Concentration_Type,Concentration_Description
Georgia,Altoona,52,6,Medium Duty,EV,South,1,Substantially Concentrated
North Carolina,Parma,55,8,Heavy Duty,EV,South,1,Substantially Concentrated
Pennsylvania,Sterling Heights,144,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Texas,Sacramento,99,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Pennsylvania,Joliet,84,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
New York,Boston,69,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
New York,Waukegan,148,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Michigan,Tacoma,35,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
Florida,Yonkers,104,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Washington,Utica,100,6,Medium Duty,CNG,West,1,Substantially Concentrated
Washington,Albany,83,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Florida,Federal Way,38,6,Medium Duty,EV,South,1,Substantially Concentrated
Washington,Boston,41,6,Medium Duty,EV,West,1,Substantially Concentrated
Tennessee,Utica,115,6,Medium Duty,EV,South,1,Substantially Concentrated
Texas,Erie,95,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Tennessee,Fort Collins,12,8,Heavy Duty,EV,South,1,Substantially Concentrated
Texas,Cambridge,56,8,Heavy Duty,CNG,South,1,Substantially Concentrated
North Carolina,Wilmington,150,8,Heavy Duty,EV,South,1,Substantially Concentrated
Illinois,Jacksonville,73,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
Ohio,Laredo,122,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
North Carolina,Seattle,120,6,Medium Duty,EV,South,1,Substantially Concentrated
North Carolina,Bakersfield,68,6,Medium Duty,CNG,South,1,Substantially Concentrated
Texas,Mount Vernon,57,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Massachusetts,Schenectady,147,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Washington,Lynn,47,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Florida,Renton,10,8,Heavy Duty,EV,South,1,Substantially Concentrated
Ohio,Arlington,149,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
Washington,Bakersfield,124,6,Medium Duty,CNG,West,1,Substantially Concentrated
Tennessee,Cincinnati,121,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
New York,Tampa,106,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Michigan,Allentown,110,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
Massachusetts,Scranton,131,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
California,Vancouver,119,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Ohio,Cleveland,10,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
New York,Centennial,68,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Georgia,Nashville,101,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Tennessee,Tucson,8,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Massachusetts,Mesa,29,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Illinois,Atlanta,96,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
Illinois,Hialeah,96,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Arizona,Augusta,77,6,Medium Duty,CNG,West,1,Substantially Concentrated
Tennessee,Troy,91,8,Heavy Duty,EV,South,1,Substantially Concentrated
Massachusetts,Clarksville,15,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
North Carolina,Parma,53,8,Heavy Duty,EV,South,1,Substantially Concentrated
Florida,Detroit,59,6,Medium Duty,CNG,South,1,Substantially Concentrated
New York,Dallas,13,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
Arizona,Miami,65,6,Medium Duty,EV,West,1,Substantially Concentrated
California,Utica,101,6,Medium Duty,EV,West,1,Substantially Concentrated
Georgia,Albany,19,6,Medium Duty,CNG,South,1,Substantially Concentrated
North Carolina,Sandy Springs,65,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Texas,Worcester,53,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
New York,Worcester,126,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Colorado,Westminster,12,8,Heavy Duty,EV,West,1,Substantially Concentrated
California,Long Beach,46,6,Medium Duty,CNG,West,1,Substantially Concentrated
Tennessee,Bellevue,132,6,Medium Duty,EV,South,1,Substantially Concentrated
Illinois,Cincinnati,93,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Pennsylvania,Jacksonville,71,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Texas,Spokane Valley,90,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Washington,Pueblo,77,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Colorado,Rockford,82,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Arizona,Johns Creek,17,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
California,Lakewood,24,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Tennessee,Newton,141,6,Medium Duty,CNG,South,1,Substantially Concentrated
Michigan,Scottsdale,74,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Tennessee,Hialeah,31,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Tennessee,San Antonio,101,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Florida,Concord,49,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Massachusetts,Fort Worth,50,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Pennsylvania,Philadelphia,9,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
Ohio,Jacksonville,51,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Ohio,Rockford,52,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Tennessee,Bartlett,99,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Texas,Los Angeles,82,8,Heavy Duty,EV,South,1,Substantially Concentrated
Ohio,San Francisco,41,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Michigan,Thornton,6,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
New York,Quincy,103,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Massachusetts,Austin,57,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Georgia,Fall River,127,8,Heavy Duty,EV,South,1,Substantially Concentrated
Arizona,Federal Way,62,6,Medium Duty,EV,West,1,Substantially Concentrated
North Carolina,Thornton,74,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
New York,Boston,92,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Texas,Sterling Heights,143,8,Heavy Duty,EV,South,1,Substantially Concentrated
North Carolina,New Rochelle,8,6,Medium Duty,CNG,South,1,Substantially Concentrated
Michigan,Gilbert,64,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
Colorado,Atlanta,63,8,Heavy Duty,CNG,West,1,Substantially Concentrated
California,Cary,104,8,Heavy Duty,EV,West,1,Substantially Concentrated
Florida,New Rochelle,71,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Michigan,Aurora,36,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
New York,Mesa,50,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Florida,Bethlehem,89,6,Medium Duty,CNG,South,1,Substantially Concentrated
Texas,Syracuse,11,6,Medium Duty,EV,South,1,Substantially Concentrated
Tennessee,Aurora,51,8,Heavy Duty,EV,South,1,Substantially Concentrated
Ohio,Bellevue,73,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Colorado,Atlanta,79,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Texas,Port St. Lucie,103,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Washington,Lansing,117,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Massachusetts,Sacramento,33,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
Michigan,Cary,15,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
New York,Aurora,35,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
Illinois,Tallahassee,35,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
Illinois,Sandy Springs,79,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
New York,Charlotte,37,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Florida,Denver,10,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
New York,Troy,121,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Texas,Memphis,49,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Colorado,Waukegan,6,8,Heavy Duty,CNG,West,1,Substantially Concentrated
North Carolina,Fort Worth,142,6,Medium Duty,CNG,South,1,Substantially Concentrated
Ohio,Toledo,89,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Michigan,Jackson,120,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Illinois,Kent,10,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
North Carolina,St. Petersburg,29,6,Medium Duty,EV,South,1,Substantially Concentrated
Tennessee,Plano,35,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Arizona,Centennial,140,6,Medium Duty,CNG,West,1,Substantially Concentrated
Georgia,Parma,47,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Pennsylvania,Fort Collins,74,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Florida,Federal Way,138,8,Heavy Duty,EV,South,1,Substantially Concentrated
New York,San Diego,21,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Washington,Denver,53,8,Heavy Duty,EV,West,1,Substantially Concentrated
Massachusetts,Fort Worth,8,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Florida,Colorado Springs,51,8,Heavy Duty,CNG,South,1,Substantially Concentrated
New York,Phoenix,26,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Colorado,High Point,126,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
California,Colorado Springs,148,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Arizona,Orlando,36,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
California,Lorain,105,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Pennsylvania,San Francisco,109,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
Texas,Reading,82,6,Medium Duty,CNG,South,1,Substantially Concentrated
Illinois,Waukegan,148,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Ohio,Joliet,72,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
Texas,Kent,128,6,Medium Duty,EV,South,1,Substantially Concentrated
Arizona,Raleigh,150,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Illinois,Quincy,25,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
New York,Grand Rapids,146,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Ohio,Los Angeles,40,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Washington,Toledo,88,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Ohio,Bartlett,114,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
California,Naperville,113,6,Medium Duty,CNG,West,1,Substantially Concentrated
New York,Dearborn,17,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
New York,Houston,29,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Tennessee,Newton,136,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
North Carolina,Cambridge,83,8,Heavy Duty,EV,South,1,Substantially Concentrated
Illinois,Orlando,76,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
North Carolina,Memphis,133,6,Medium Duty,CNG,South,1,Substantially Concentrated
Illinois,Tampa,26,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
New York,Nashville,145,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Illinois,Athens,135,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
California,Augusta,18,6,Medium Duty,CNG,West,1,Substantially Concentrated
Massachusetts,Westminster,80,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Massachusetts,Spokane,113,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Florida,Durham,98,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Ohio,Tucson,45,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Illinois,Springfield,13,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Georgia,Pueblo,54,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
North Carolina,Durham,113,6,Medium Duty,CNG,South,1,Substantially Concentrated
Colorado,Vancouver,132,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Tennessee,Jackson,58,6,Medium Duty,CNG,South,1,Substantially Concentrated
Arizona,Bartlett,13,8,Heavy Duty,EV,West,1,Substantially Concentrated
Michigan,Tucson,14,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Illinois,Fall River,143,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
Florida,Springfield,85,6,Medium Duty,CNG,South,1,Substantially Concentrated
Ohio,Hialeah,51,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Georgia,Fall River,82,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
New York,Miami,94,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
New York,Franklin,62,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
New York,Austin,49,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Ohio,Mesa,116,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
California,Clarksville,149,6,Medium Duty,CNG,West,1,Substantially Concentrated
Michigan,Hialeah,145,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Georgia,Newton,109,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Tennessee,Hialeah,115,6,Medium Duty,CNG,South,1,Substantially Concentrated
Michigan,Schenectady,25,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Pennsylvania,Augusta,79,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
North Carolina,Arvada,128,6,Medium Duty,CNG,South,1,Substantially Concentrated
Massachusetts,Lakewood,107,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Arizona,Joliet,42,6,Medium Duty,CNG,West,1,Substantially Concentrated
Illinois,Albany,22,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Florida,Chandler,93,8,Heavy Duty,EV,South,1,Substantially Concentrated
Michigan,Nashville,85,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
Ohio,Renton,37,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
New York,Johns Creek,124,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Tennessee,Buffalo,64,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
New York,Erie,96,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Georgia,Franklin,143,6,Medium Duty,EV,South,1,Substantially Concentrated
Massachusetts,Lynn,43,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Georgia,Roswell,67,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
North Carolina,Chandler,23,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Pennsylvania,Renton,78,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Texas,Los Angeles,55,8,Heavy Duty,EV,South,1,Substantially Concentrated
Arizona,Cambridge,57,8,Heavy Duty,EV,West,1,Substantially Concentrated
Illinois,Jackson,36,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Illinois,Athens,142,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Florida,Plano,103,6,Medium Duty,EV,South,1,Substantially Concentrated
Michigan,Arlington,112,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
North Carolina,Cleveland,52,6,Medium Duty,CNG,South,1,Substantially Concentrated
Florida,San Francisco,100,6,Medium Duty,EV,South,1,Substantially Concentrated
Massachusetts,Bartlett,98,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
California,Hialeah,64,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Pennsylvania,Yonkers,76,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
California,Bartlett,130,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Washington,El Paso,119,6,Medium Duty,CNG,West,1,Substantially Concentrated
California,Sterling Heights,140,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Massachusetts,Livonia,146,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
Washington,Renton,129,8,Heavy Duty,CNG,West,1,Substantially Concentrated
California,Lancaster,81,6,Medium Duty,CNG,West,1,Substantially Concentrated
Michigan,Winston-Salem,52,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Arizona,Bartlett,52,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Michigan,Warren,126,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Michigan,Fort Lauderdale,64,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
Washington,New York City,10,8,Heavy Duty,EV,West,1,Substantially Concentrated
Texas,Fort Collins,104,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Ohio,Johns Creek,110,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Florida,Houston,140,6,Medium Duty,CNG,South,1,Substantially Concentrated
Pennsylvania,Bellevue,94,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
Florida,Springfield,142,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
New York,Denver,112,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Ohio,Spokane Valley,144,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Texas,Surprise,12,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Massachusetts,Arlington,20,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Washington,Los Angeles,112,6,Medium Duty,CNG,West,1,Substantially Concentrated
New York,Akron,145,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Texas,Cleveland,16,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Arizona,Brockton,8,6,Medium Duty,EV,West,1,Substantially Concentrated
Pennsylvania,Springfield,40,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Michigan,Renton,147,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
Tennessee,Tampa,95,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Colorado,Fresno,42,8,Heavy Duty,EV,West,1,Substantially Concentrated
Michigan,Fayetteville,100,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Colorado,Fort Collins,116,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
California,Tacoma,32,6,Medium Duty,EV,West,1,Substantially Concentrated
Texas,Johns Creek,31,8,Heavy Duty,EV,South,1,Substantially Concentrated
Washington,Philadelphia,54,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Texas,Cicero,30,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Texas,Wilmington,39,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Michigan,Laredo,27,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Georgia,Rochester,132,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Texas,Miami,81,8,Heavy Duty,EV,South,1,Substantially Concentrated
North Carolina,Waukegan,44,6,Medium Duty,CNG,South,1,Substantially Concentrated
New York,San Francisco,18,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Illinois,Dearborn,104,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Arizona,Lowell,81,6,Medium Duty,EV,West,1,Substantially Concentrated
Tennessee,Albany,94,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Pennsylvania,Memphis,69,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Arizona,Scottsdale,54,6,Medium Duty,EV,West,1,Substantially Concentrated
Washington,Albany,55,8,Heavy Duty,EV,West,1,Substantially Concentrated
Florida,Knoxville,35,6,Medium Duty,CNG,South,1,Substantially Concentrated
Illinois,Jacksonville,34,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
North Carolina,Jacksonville,113,6,Medium Duty,EV,South,1,Substantially Concentrated
North Carolina,Port St. Lucie,115,8,Heavy Duty,EV,South,1,Substantially Concentrated
Michigan,Glendale,80,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Illinois,Troy,64,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
Arizona,Westminster,21,6,Medium Duty,EV,West,1,Substantially Concentrated
Ohio,Corpus Christi,92,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Massachusetts,Fresno,35,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
New York,Grand Rapids,111,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
New York,Franklin,65,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Arizona,Westminster,147,6,Medium Duty,EV,West,1,Substantially Concentrated
Pennsylvania,Yonkers,26,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Georgia,Everett,146,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Arizona,Cicero,9,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Massachusetts,Winston-Salem,137,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Illinois,Laredo,123,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Florida,Brockton,89,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Washington,Bakersfield,127,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Texas,Pueblo,95,8,Heavy Duty,EV,South,1,Substantially Concentrated
Tennessee,Syracuse,144,6,Medium Duty,EV,South,1,Substantially Concentrated
Pennsylvania,Quincy,97,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Texas,Canton,132,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
North Carolina,Yonkers,30,6,Medium Duty,CNG,South,1,Substantially Concentrated
Massachusetts,Warren,80,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Georgia,Syracuse,51,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Colorado,St. Petersburg,68,8,Heavy Duty,EV,West,1,Substantially Concentrated
Florida,Anaheim,148,6,Medium Duty,EV,South,1,Substantially Concentrated
North Carolina,Thornton,6,6,Medium Duty,EV,South,1,Substantially Concentrated
Michigan,San Antonio,107,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Texas,Macon,129,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Arizona,Lynn,86,6,Medium Duty,CNG,West,1,Substantially Concentrated
Florida,Bethlehem,32,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Georgia,Johnson City,88,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
California,St. Petersburg,87,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Arizona,Tampa,21,8,Heavy Duty,EV,West,1,Substantially Concentrated
Arizona,Dayton,106,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Texas,Cape Coral,146,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Ohio,Laredo,67,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
Michigan,Sacramento,124,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Ohio,Chicago,22,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Michigan,Brockton,43,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Florida,Worcester,34,6,Medium Duty,CNG,South,1,Substantially Concentrated
Colorado,Athens,116,6,Medium Duty,EV,West,1,Substantially Concentrated
Georgia,Canton,119,6,Medium Duty,CNG,South,1,Substantially Concentrated
Florida,Erie,104,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Washington,Parma,86,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Massachusetts,Phoenix,123,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Ohio,Mount Vernon,67,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
Massachusetts,Grand Rapids,23,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Texas,Chattanooga,135,8,Heavy Duty,CNG,South,1,Substantially Concentrated
North Carolina,Fayetteville,47,8,Heavy Duty,EV,South,1,Substantially Concentrated
Pennsylvania,Waukegan,19,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Massachusetts,Phoenix,28,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Ohio,Plano,41,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
